Datum,Aantal
20200227,1
20200228,2
20200229,7
20200301,10
20200302,18
20200303,24
20200304,38
20200305,82
20200306,128
20200307,188
20200308,264
20200309,321
20200310,382
20200311,503
20200312,614
20200313,804
20200314,959
20200315,1135
20200316,1413
20200317,1705
20200318,2051
20200319,2460
20200320,2994
20200321,3631
20200322,4204
20200323,4749
20200324,5560
20200325,6412
20200326,7431
20200327,8603
20200328,9762
20200329,10866
20200330,11750
20200331,12595
20200401,13614
20200402,14697
20200403,15723
20200404,16627
20200405,17851
20200406,0
20200407,0
20200408,0
20200409,0
20200410,0
20200411,0
20200412,0
20200413,0
20200414,0
20200415,0
20200416,0
20200417,0
20200418,0
20200419,0
20200420,0
20200421,0
20200422,0
20200423,0
20200424,0
20200425,0
20200426,0
20200427,0
20200428,0
20200429,0
20200430,0
