"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Hertogenbosch";43,2;155113
"Aa en Hunze";3,9;25453
"Aalsmeer";15,7;31857
"Aalten";3,7;27117
"Achtkarspelen";0;27836
"Alblasserdam";9,9;20165
"Albrandswaard";15,6;25589
"Alkmaar";17,4;109444
"Almelo";10,9;73080
"Almere";21,7;211840
"Alphen aan den Rijn";25,9;111889
"Alphen-Chaam";88,1;10213
"Altena";30,4;55980
"Ameland";0;3718
"Amersfoort";15,3;157279
"Amstelveen";30,5;91691
"Amsterdam";28;872779
"Apeldoorn";11,6;163829
"Appingedam";8,6;11644
"Arnhem";17,4;161368
"Assen";7,3;68606
"Asten";23,9;16734
"Baarle-Nassau";14,6;6860
"Baarn";8;24873
"Barendrecht";32,8;48713
"Barneveld";8,5;59077
"Beek";0;15868
"Beekdaelen";33,4;35976
"Beemster";20;10025
"Beesel";74,2;13483
"Berg en Dal";42,9;34990
"Bergeijk";26,8;18638
"Bergen (L.)";22,9;13085
"Bergen (NH.)";26,8;29844
"Bergen op Zoom";16,3;67489
"Berkelland";2,3;43748
"Bernheze";182,4;31247
"Best";60;29985
"Beuningen";46,3;25891
"Beverwijk";12;41613
"Bladel";34,3;20395
"Blaricum";8,7;11536
"Bloemendaal";12,7;23570
"Bodegraven-Reeuwijk";5,7;34869
"Boekel";194,7;10784
"Borger-Odoorn";3,9;25558
"Borne";42,9;23313
"Borsele";13,2;22738
"Boxmeer";27,2;29371
"Boxtel";29,2;30803
"Breda";61,3;184271
"Brielle";28,9;17282
"Bronckhorst";2,8;36052
"Brummen";14,5;20756
"Brunssum";32,4;27817
"Bunnik";26,3;15191
"Bunschoten";4,6;21867
"Buren";18,7;26742
"Capelle aan den IJssel";29,8;67151
"Castricum";22,2;35988
"Coevorden";14,2;35296
"Cranendonck";132,3;21166
"Cuijk";19,9;25139
"Culemborg";44,9;28956
"Dalfsen";24,5;28585
"Dantumadiel";0;18916
"De Bilt";25,5;43124
"De Fryske Marren";21,3;51567
"De Ronde Venen";24,7;44457
"De Wolden";8,2;24327
"Delft";18,3;103659
"Delfzijl";16,2;24666
"Den Helder";10,7;56305
"Deurne";104,7;32474
"Deventer";20,9;100718
"Diemen";13;30781
"Dinkelland";41,6;26470
"Doesburg";27,1;11078
"Doetinchem";8,6;58009
"Dongen";26,7;26226
"Dordrecht";21,8;119300
"Drechterland";5,1;19717
"Drimmelen";51,3;27274
"Dronten";19,2;41569
"Druten";63,4;18918
"Duiven";15,9;25124
"Echt-Susteren";63,3;31618
"Edam-Volendam";27,6;36201
"Ede";20,5;117166
"Eemnes";10,8;9247
"Eersel";57;19314
"Eijsden-Margraten";23,3;25753
"Eindhoven";19,6;234456
"Elburg";8,6;23161
"Emmen";5,6;107055
"Enkhuizen";69,9;18592
"Enschede";15;159734
"Epe";21,1;33186
"Ermelo";29,6;27005
"Etten-Leur";47,9;43880
"Geertruidenberg";32,5;21538
"Geldrop-Mierlo";22,7;39733
"Gemert-Bakel";156,2;30725
"Gennep";53,2;16924
"Gilze en Rijen";49,2;26438
"Goeree-Overflakkee";48;50049
"Goes";13,1;38080
"Goirle";66,9;23906
"Gooise Meren";17,2;58041
"Gorinchem";24,3;37009
"Gouda";17,7;73443
"Grave";80,4;12437
"Groningen";3,9;232922
"Gulpen-Wittem";14,1;14176
"Haaksbergen";16,5;24309
"Haaren";97,4;14371
"Haarlem";16;162961
"Haarlemmermeer";19,9;156039
"Halderberge";29,7;30277
"Hardenberg";14,8;60940
"Harderwijk";16,5;48429
"Hardinxveld-Giessendam";5,5;18295
"Harlingen";6,4;15720
"Hattem";24,6;12213
"Heemskerk";35,7;39188
"Heemstede";14,7;27239
"Heerde";91,5;18587
"Heerenveen";9,9;50494
"Heerhugowaard";29,5;57592
"Heerlen";27,6;87057
"Heeze-Leende";31;16150
"Heiloo";20,9;23974
"Hellendoorn";8,4;35923
"Hellevoetsluis";10;40158
"Helmond";37,9;92432
"Hendrik-Ido-Ambacht";9,6;31204
"Hengelo";7,4;81147
"Het Hogeland";8,4;47834
"Heumen";42,6;16450
"Heusden";49,2;44699
