id,Gemeente,Indicator,Aantal,
1680,0,Aa en Hunze,Aantal,
358,0,Aalsmeer,Aantal,
197,0,Aalten,Aantal,
59,0,Achtkarspelen,Aantal,
482,0,Alblasserdam,Aantal,
613,0,Albrandswaard,Aantal,
361,0,Alkmaar,Aantal,
141,0,Almelo,Aantal,
34,0,Almere,Aantal,
484,0,Alphen aan den Rijn,Aantal,1
1723,0,Alphen-Chaam,Aantal,
1959,0,Altena,Aantal,4
60,0,Ameland,Aantal,
307,0,Amersfoort,Aantal,
362,0,Amstelveen,Aantal,
363,0,Amsterdam,Aantal,2
200,0,Apeldoorn,Aantal,
3,0,Appingedam,Aantal,
202,0,Arnhem,Aantal,
106,0,Assen,Aantal,
743,0,Asten,Aantal,
744,0,Baarle-Nassau,Aantal,
308,0,Baarn,Aantal,
489,0,Barendrecht,Aantal,
203,0,Barneveld,Aantal,
888,0,Beek,Aantal,
1954,0,Beekdaelen,Aantal,
370,0,Beemster,Aantal,
889,0,Beesel,Aantal,
1945,0,Berg en Dal,Aantal,
1724,0,Bergeijk,Aantal,
893,0,Bergen (L),Aantal,
373,0,Bergen (NH),Aantal,
748,0,Bergen op Zoom,Aantal,
1859,0,Berkelland,Aantal,
1721,0,Bernheze,Aantal,
753,0,Best,Aantal,1
209,0,Beuningen,Aantal,
375,0,Beverwijk,Aantal,2
1728,0,Bladel,Aantal,
376,0,Blaricum,Aantal,1
377,0,Bloemendaal,Aantal,
1901,0,Bodegraven-Reeuwijk,Aantal,
755,0,Boekel,Aantal,
1681,0,Borger-Odoorn,Aantal,
147,0,Borne,Aantal,1
654,0,Borsele,Aantal,
756,0,Boxmeer,Aantal,
757,0,Boxtel,Aantal,
758,0,Breda,Aantal,
501,0,Brielle,Aantal,
1876,0,Bronckhorst,Aantal,
213,0,Brummen,Aantal,
899,0,Brunssum,Aantal,
312,0,Bunnik,Aantal,
313,0,Bunschoten,Aantal,
214,0,Buren,Aantal,
502,0,Capelle aan den IJssel,Aantal,
383,0,Castricum,Aantal,
109,0,Coevorden,Aantal,3
1706,0,Cranendonck,Aantal,
1684,0,Cuijk,Aantal,
216,0,Culemborg,Aantal,1
148,0,Dalfsen,Aantal,
1891,0,Dantumadiel,Aantal,
310,0,De Bilt,Aantal,2
1940,0,De Fryske Marren,Aantal,
736,0,De Ronde Venen,Aantal,
1690,0,De Wolden,Aantal,
503,0,Delft,Aantal,1
10,0,Delfzijl,Aantal,
400,0,Den Helder,Aantal,
762,0,Deurne,Aantal,
150,0,Deventer,Aantal,
384,0,Diemen,Aantal,2
1774,0,Dinkelland,Aantal,
221,0,Doesburg,Aantal,
222,0,Doetinchem,Aantal,
766,0,Dongen,Aantal,1
505,0,Dordrecht,Aantal,
498,0,Drechterland,Aantal,
1719,0,Drimmelen,Aantal,
303,0,Dronten,Aantal,
225,0,Druten,Aantal,
226,0,Duiven,Aantal,
1711,0,Echt-Susteren,Aantal,
385,0,Edam-Volendam,Aantal,
228,0,Ede,Aantal,
317,0,Eemnes,Aantal,
770,0,Eersel,Aantal,
1903,0,Eijsden-Margraten,Aantal,
772,0,Eindhoven,Aantal,3
230,0,Elburg,Aantal,
114,0,Emmen,Aantal,
388,0,Enkhuizen,Aantal,
153,0,Enschede,Aantal,
232,0,Epe,Aantal,
233,0,Ermelo,Aantal,
777,0,Etten-Leur,Aantal,
779,0,Geertruidenberg,Aantal,
1771,0,Geldrop-Mierlo,Aantal,
1652,0,Gemert-Bakel,Aantal,1
907,0,Gennep,Aantal,
784,0,Gilze en Rijen,Aantal,
1924,0,Goeree-Overflakkee,Aantal,
664,0,Goes,Aantal,
785,0,Goirle,Aantal,
1942,0,Gooise Meren,Aantal,1
512,0,Gorinchem,Aantal,
513,0,Gouda,Aantal,
786,0,Grave,Aantal,
14,0,Groningen,Aantal,
1729,0,Gulpen-Wittem,Aantal,
158,0,Haaksbergen,Aantal,
788,0,Haaren,Aantal,
392,0,Haarlem,Aantal,1
394,0,Haarlemmermeer,Aantal,
1655,0,Halderberge,Aantal,
160,0,Hardenberg,Aantal,
243,0,Harderwijk,Aantal,
523,0,Hardinxveld-Giessendam,Aantal,2
72,0,Harlingen,Aantal,
244,0,Hattem,Aantal,
396,0,Heemskerk,Aantal,
397,0,Heemstede,Aantal,
246,0,Heerde,Aantal,
74,0,Heerenveen,Aantal,
